sample,region,donor,pz,T_cells,CD8_T_cells,CD4_T_cells,Tregs,Th1_cells,Th2_cells,Th17_cells,B_cells,Plasma_cells,NK_cells,Monocytes,Macrophages_M1,Macrophages_M2,Dendritic_cells,Plasmacytoid_DC,Neutrophils,Mast_cells,Eosinophils
GSM1248769,LT,OA-13,0.09155941,0.101261346833249,0.298801519269537,0.061567514115912,-0.222035545824776,0.157718321223493,-0.0821804677529075,0.106603884425446,0.365444662053428,0.184108516209068,0.0444081133627307,0.311735810480719,0.0978921672009931,0.0896264784920569,0.181540968537199,0.0136001413401562,0.314392604450242,-0.0642257826795497,0.186148354057474
GSM1248770,LT,OA-12,-0.12532616,0.336056702841478,0.404060019367316,0.176592105040897,0.0784091805471982,0.251040824403076,0.242011508380067,-0.317721903618334,0.0832695504682968,0.270129836228654,0.0741866183189136,0.342721688941361,0.13358666730435,0.427399056260409,0.284590076903687,0.269447693745851,0.247489249436479,0.348049831125484,-0.039891970442752
GSM1248771,LT,OA-11,0,0.0798876164183101,0.325574105776941,0.0200471300836664,0.0873525110898835,0.0728996191582098,0.0656217551005045,-0.213391972539931,-0.0470620865086996,0.212630205209275,0.34929686445521,0.0925762213038774,0.425271379632668,0.194042250678261,0.137150208746778,0.019660750729597,-0.0150253522062758,-0.0295946062896279,-0.433569213128392
GSM1248772,LT,OA-10,0.80574894,-0.10673231769085,0.216760077360707,-0.0897371681028006,-0.140487730139972,0.0713927960450624,-0.238565063245994,-0.0709776820821031,-0.104796505080396,0.0913814678668768,0.16905997511642,0.224687918249312,0.206910872815473,0.255381732274901,-0.106445142002701,0.00909318963780847,0.207306374004597,-0.254699658276296,0.184601664119236
GSM1248773,LT,OA-9,0.087973595,0.0449152347981859,0.22160402126131,0.0152806855012726,0.0691033508151753,0.304229896279386,0.126217000907883,-0.0241592537140489,-0.106481796944875,-0.275721266998629,0.168182762893819,0.221337768572898,0.471429525477166,-0.040065394226644,0.249895199316814,-0.0291528939932931,-0.182868584894123,0.0344032930713495,-0.173047271675695
GSM1248774,LT,OA-8,0.30032158,0.206554636081362,-0.18398472077709,0.181374247056688,0.0294496466233884,-0.219297127907412,0.119259171700335,-0.0368354319663319,-0.0699143982067851,0.157966661843382,0.055089072956248,-0.108901342509067,-0.105142682732025,0.186063031164905,-0.112159266629509,0.0128453215254179,-0.286087844765301,-0.0765954807452777,-0.291032103987288
GSM1248775,LT,OA-7,-0.17369938,-0.182728285918148,0.0399974760327862,-0.0872115766330063,0.0364036998254381,-0.251255650571515,-0.151439605624377,0.121996824424388,-0.254018552931301,-0.3131822693068,-0.0399826639764922,0.106211544184138,-0.0704172512684428,0.338639159104849,-0.195727369378386,-0.0271095165142845,-0.291408159389504,0.00253895988657274,-0.390021361057577
GSM1248776,LT,OA-20,0.36350536,0.245079264326701,0.348981031567836,0.106340680979564,-0.13271749711917,0.319283517293072,0.03451860443418,0.197703777826625,0.312606838632451,0.0832947350275312,0.239768112813652,0.301065460316677,-0.141804476354568,-0.423288625655634,0.110440873037232,0.15891443903838,0.509301004247179,-0.391605321164476,0.36524304286443
GSM1248777,LT,OA-19,0.5282316,0.408081420524555,0.416583272691107,0.0255092733871981,0.096829114329883,0.405253201621896,0.063078747794948,0.187914456647376,0.0637678542744105,0.373579979747989,0.394098463050495,0.075085174701473,-0.00823682656677618,-0.0723258133321266,0.0128372601884619,0.0245139988295167,-0.05018236793867,0.193701900049625,-0.0520293020563943
GSM1248778,LT,OA-18,0.59242344,0.322672884409036,0.246901842496027,-0.0583372707077895,0.158498787342701,0.369746630465016,0.200688960420841,0.240072416420924,0.00104522683362655,0.264965071392842,0.420080854002384,0.0549800130339645,-0.0389843256320278,-0.387701489224001,-0.101197426682474,0.146463635628409,0.0715940743636084,0.0266071512675677,0.0729115417707551
GSM1248779,LT,OA-6,0.84349823,0.0715311002837378,0.15135630840578,-0.15111372985128,0.0710119212722589,0.199769263748545,-0.0097794659831806,0.19079313162224,-0.226011333339716,0.356282310518364,0.307555239209815,-0.316866559434289,0.118604521587334,-0.289070475885474,-0.21543185410204,-0.191909605779574,-0.113855699693128,-0.0260809512403494,-0.102094993219922
GSM1248780,LT,OA-5,0.064819336,0.0860772422364281,0.00565277203990492,-0.191525806366572,0.178781563824644,0.282171895676796,0.238093489832425,0.326739874118295,0.148806544770243,0.296493160359239,0.390409006816341,-0.0504231988480982,0.0386856300401648,-0.059590122670443,0.0967106199703039,-0.161593194033818,0.148982041033651,-0.0218045373170292,0.235908398188702
GSM1248781,LT,OA-4,0.44765282,0.360823899929845,0.503905883560836,0.213549809088025,0.284869344460866,0.464695473983856,0.0102919574496362,-0.0720277157913227,0.256680390804107,-0.0167642649359858,0.375845398462329,0.164186794351643,0.506341678523921,0.150589292269496,0.139500293398381,0.294632910137704,0.0527770454611513,-0.119197718454205,-0.129009950137002
GSM1248782,LT,OA-3,-0.17707062,0.419431117567154,0.350927203563721,-0.0253116850108321,0.312704999778253,0.489273606362345,0.145771424985606,0.309214385263472,-0.023867152296345,0.0678596060797033,0.301162547537854,0.170690345726818,0.428750384034452,0.384373281645532,-0.010391567410038,0.167233569062932,0.030700532093859,0.107371744300415,0.00177195092523925
GSM1248783,LT,OA-2,-0.6540766,0.366453704693775,0.384972508350735,0.116713753825489,0.123801974135861,0.39542436015151,0.30431697808925,0.115925355357182,0.186115519833329,0.098769548850291,0.327278292013462,0.0297721462237933,-0.119910245507697,0.161742888600576,-0.0304465255004956,0.158886070678237,-0.0785138881558888,-0.00629546032874605,-0.347578588496618
GSM1248784,LT,OA-1,0.3198843,0.337281762689457,0.345109473763934,0.0858731326753925,0.0426346968468287,0.404141274114923,0.0649141500314192,0.0475659311479028,0.405408959739238,0.214778129717829,0.423619984634372,0.369434639303388,0.452807805665857,0.116395301620808,-0.121288150491879,-0.20954505963302,0.507155090722053,-0.00511518848060663,0.401482777092952
GSM1248785,LT,OA-17,0.32490444,0.166775496825061,0.10036443635989,-0.151400001450583,-0.00324456827857717,0.315897753272614,0.214963841426648,0.183888175428811,0.286132590721597,0.406643740998271,-0.0982736187539742,-0.157464916031339,0.239786641485497,-0.0357125871702432,0.335187801452856,-0.0719137498021288,-0.278395736464324,0.285059376173891,0.072189015606012
GSM1248786,LT,OA-16,0.3865137,0.268997684013072,0.40455169219328,-0.206632878351771,0.217605455105269,0.477006880737205,0.0870935534465668,0.3337916996064,-0.111458261238329,0.162653354303466,0.134910217359431,-0.308858192363045,0.387055954515042,0.0646507874046311,0.152552636636755,0.0233401854137963,-0.19854787952053,-0.268221233486091,0.105262220617814
GSM1248787,LT,OA-15,0.012653351,0.377982884829649,0.387574630972698,-0.0376149156755316,-0.151499048050203,0.433561717689706,-0.025061980581744,0.174978064647308,0.165087482219469,0.130294767383726,0.341127071724177,0.287214271375149,0.255082687207131,0.158074339760226,0.328711719319727,-0.119678639271877,0.471455142447385,-0.374501986524097,0.339110654210004
GSM1248788,LT,OA-14,0.08223343,0.417878940380322,0.407597952655506,0.00652351584713259,0.29822805808981,0.488947306627547,0.238378836642037,0.116803199682105,-0.00127980733180689,-0.0313988645218397,0.137267567070965,0.274855670957378,0.406230167345836,0.331325092133715,0.331400450954825,-0.0212083001371697,-0.286572048128159,-0.329877670244261,-0.276792489499506
GSM1248789,MT,OA-15,0.37308025,-0.238363917857039,-0.133538958007424,-0.0683274314497285,-0.224056090543743,-0.20151428295914,-0.0117634874722728,0.0877059550976373,-0.0752580907765652,0.0046670220506693,-0.381045543141078,-0.0327367300871768,0.142612237784159,0.142272334916588,0.23259550525236,0.0854261738983323,-0.141916803927208,0.290705098052907,-0.25703620293787
GSM1248790,MT,OA-14,-0.34420204,0.249947372564212,0.192738228322226,0.251291879001281,0.0613331018708451,0.0875770128786005,-0.0918187993403319,-0.100089946607413,0.115783536271671,0.130525688846174,-0.079676419634447,0.185244230126493,0.249852358595174,0.361010026675148,0.368328630511529,0.327670048589999,-0.239634186599275,0.453642240479739,0.0782452493613558
GSM1248791,MT,OA-13,-0.5157957,-0.0404262850687669,-0.289594436214633,0.122680745181469,0.224606895135003,-0.122502591128,0.0766175667252844,-0.0443303445255129,0.131412900368427,-0.127925676637876,-0.0312526793160765,-0.431472744988687,0.256526174505575,-0.184725507489541,0.0431325775858251,0.130013535667397,-0.293872659009512,0.45732541446145,-0.0115436669612973
GSM1248792,MT,OA-12,-0.616395,0.0461520746348318,-0.244361943677812,0.088251711382086,0.174077649990019,0.0213866191278045,0.0325160176562646,-0.172664340417146,-0.0331575168193586,-0.063982511219697,-0.0447415397736342,-0.211101740562404,0.250817200039747,0.165562928088632,-0.352137616691984,0.182149259278363,-0.0981436908549628,0.30560267107034,0.157071059256726
GSM1248793,MT,OA-11,-0.56256676,-0.0556134988421466,-0.294885023234089,0.334647081844248,0.0710185884430119,-0.147356576888737,-0.0488265696732537,0.0939624964875743,-0.0188769330714094,0.120393883679546,-0.0424647736242596,-0.114464558015164,0.102627490719054,0.0323953632542597,-0.146166196422677,-0.0894396612043318,-0.121908125025999,0.115757580680311,-0.0536681417398276
GSM1248794,MT,OA-10,-0.22792435,-0.356171874891029,-0.394272942783438,0.232234205064221,0.195433943181622,-0.30247090578059,-0.0625810068561576,0.137458915174742,-0.140178111656497,0.110079373797225,-0.0156616761632532,-0.434461167108581,-0.0633829551376528,-0.149215838798769,-0.0783478062364424,0.0110380755409247,-0.259453240605851,-0.133712675277262,0.234092040402586
GSM1248795,MT,OA-20,0.8563566,0.380460544035883,0.289363262905045,0.145132470734336,0.279561971357048,0.221249307039703,0.201671682828163,0.298794009314898,0.135055549225154,0.324875411399703,0.090190736613134,-0.0807317875146514,0.140220290126002,-0.106729144422378,0.300324113422783,0.146656166794284,-0.417231987001924,0.190217695046316,0.220374117823563
GSM1248796,MT,OA-9,-0.48942852,0.20495163729162,-0.157204878467401,-0.0950142108802924,0.156218083043217,0.0208319076337861,0.0467660253826066,0.0585523795629135,0.0447261250674859,-0.0172317530076272,0.249678007099529,-0.383494328512987,-0.0625300918583255,-0.30727612722047,-0.0174515151521408,-0.0306510771059734,-0.315225221203677,0.415187056884998,-0.209398321219229
GSM1248797,MT,OA-8,0.09051895,-0.346420490042028,-0.364351021476589,-0.0715518884671458,0.179325794248399,-0.230122839880177,-0.166607736958616,0.159234815331311,-0.218141993182716,0.0629829580115301,-0.0699061637877455,-0.328653666492491,-0.108752626143517,-0.481721270567054,0.091006199058397,0.124218792044006,-0.360584915007117,0.325358093744223,-0.0914288320428673
GSM1248798,MT,OA-7,-0.2525053,0.323575596639518,0.367544154809554,0.310404016812119,0.294923462266194,0.331523249544065,0.0969508266509472,0.218272147445937,0.227256257757551,0.29152842034011,0.0185393785215226,0.0716754125261343,0.44251078060032,0.326685251216607,0.457579594059875,-0.0545549710658853,-0.271267913444151,0.111311350956369,0.0107970285175095
